mean_xai_power,mean_random_power,incremental_power,cohens_d,practical_significant,ci_lower_95,ci_upper_95,r2_score,pearson_r,spearman_r,r2_note,cv_mean_xai_power,cv_std_xai_power,cv_folds,method,dataset,top_k,n_instances,n_bootstrap,random_seed,model,n_aligned,sample_adequacy,n_per_method,r2_valid,r2_use_in_paper
0.0019,0.0056,-0.0038,-0.0714,False,-0.0071,0.0107,0.9937,0.998,1.0,R² = 0.9937: within acceptable range but secondary metric.,0.0019,0.0102,5,SHAP,CIC_IIoT_2025,10,200,2000,42,LSTM,200,limited,"{'SHAP': 200, 'LIME': 200, 'IntegratedGradients': 500, 'Attention': 1000}",VALID,False
0.0056,0.0056,-0.0,-0.0006,False,-0.0026,0.0133,-22.3944,-0.0025,-0.2052,R² = -2.24e+01: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,0.0056,0.0134,5,LIME,CIC_IIoT_2025,10,200,2000,42,LSTM,200,limited,"{'SHAP': 200, 'LIME': 200, 'IntegratedGradients': 500, 'Attention': 1000}",INVALID,False
0.0174,0.0056,0.0118,0.1594,False,0.0048,0.0313,-29936.0658,0.0029,-0.1607,R² = -2.99e+04: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,0.0174,0.0083,5,IntegratedGradients,CIC_IIoT_2025,10,200,2000,42,LSTM,200,limited,"{'SHAP': 200, 'LIME': 200, 'IntegratedGradients': 500, 'Attention': 1000}",INVALID,False
0.0004,0.0056,-0.0052,-0.1026,False,-0.0083,0.0083,-0.0,-0.0456,-0.0558,R² = -0.0000: within acceptable range but secondary metric.,0.0004,0.0119,5,Attention,CIC_IIoT_2025,10,200,2000,42,LSTM,200,limited,"{'SHAP': 200, 'LIME': 200, 'IntegratedGradients': 500, 'Attention': 1000}",VALID,False
0.0014,0.0035,-0.0021,-0.063,False,-0.0042,0.0074,0.9991,0.9996,0.3167,"R²≈1 is a mathematical identity of SHAP additivity axiom (TreeExplainer). Expected by construction, not a performance finding.",0.0014,0.0066,5,SHAP,CIC_IIoT_2025,10,200,2000,42,DT,200,limited,"{'SHAP': 1000, 'Anchors': 200, 'LIME': 1000}",TAUTOLOGY,False
0.0015,0.0035,-0.002,-0.0618,False,-0.0032,0.0078,-50.0585,-0.199,-0.1486,R² = -5.01e+01: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,0.0015,0.0061,5,Anchors,CIC_IIoT_2025,10,200,2000,42,DT,200,limited,"{'SHAP': 1000, 'Anchors': 200, 'LIME': 1000}",INVALID,False
-0.0025,0.0035,-0.0061,-0.2506,False,-0.0063,-0.0,-27.9777,-0.0326,-0.1036,R² = -2.80e+01: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,-0.0025,0.0031,5,LIME,CIC_IIoT_2025,10,200,2000,42,DT,200,limited,"{'SHAP': 1000, 'Anchors': 200, 'LIME': 1000}",INVALID,False
-0.0002,0.0,-0.0002,-0.2602,False,-0.0006,0.0001,-787964.924,0.485,0.6142,R² = -7.88e+05: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,-0.0002,0.0004,5,SHAP,CIC_IIoT_2025,10,30,2000,42,XGB,30,minimal,"{'SHAP': 1000, 'Anchors': 30, 'LIME': 1000}",INVALID,False
0.0001,0.0,0.0001,0.6254,True,0.0,0.0001,-58421.4277,-0.1046,0.1473,R² = -5.84e+04: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,0.0001,0.0001,5,Anchors,CIC_IIoT_2025,10,30,2000,42,XGB,30,minimal,"{'SHAP': 1000, 'Anchors': 30, 'LIME': 1000}",INVALID,False
-0.0002,0.0,-0.0002,-0.3263,False,-0.0004,0.0,-23381.9124,0.1075,0.0692,R² = -2.34e+04: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,-0.0002,0.0002,5,LIME,CIC_IIoT_2025,10,30,2000,42,XGB,30,minimal,"{'SHAP': 1000, 'Anchors': 30, 'LIME': 1000}",INVALID,False
0.1316,0.0796,0.052,0.5546,True,0.1244,0.1393,0.9999,1.0,0.7225,"R²≈1 is a mathematical identity of SHAP additivity axiom (TreeExplainer). Expected by construction, not a performance finding.",0.1316,0.0087,5,SHAP,IDS2025_Balanced,10,1000,2000,42,RF,1000,full,"{'SHAP': 1000, 'LIME': 1000}",TAUTOLOGY,False
0.1181,0.0796,0.0384,0.5068,True,0.1128,0.1238,-6.9536,0.063,0.1155,"R² = -6.9536: negative but within marginal range. Indicates poor reconstruction in probability space. Use ablation-based metrics (cohens_d, incremental_power) instead.",0.1181,0.0058,5,LIME,IDS2025_Balanced,10,1000,2000,42,RF,1000,full,"{'SHAP': 1000, 'LIME': 1000}",BORDERLINE,False
-0.0254,0.0004,-0.0259,-0.4154,False,-0.0455,-0.0091,-34.2297,0.3352,0.5964,R² = -3.42e+01: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,-0.0254,0.0132,5,LIME,IDS2025_Balanced,10,50,2000,42,Transformer,50,minimal,"{'LIME': 50, 'SHAP': 50, 'IntegratedGradients': 500, 'Attention': 1000}",INVALID,False
0.0249,0.0004,0.0245,0.221,False,-0.0104,0.0671,0.24,0.6575,0.6877,R² = 0.2400: within acceptable range but secondary metric.,0.0249,0.0306,5,SHAP,IDS2025_Balanced,10,50,2000,42,Transformer,50,minimal,"{'LIME': 50, 'SHAP': 50, 'IntegratedGradients': 500, 'Attention': 1000}",VALID,False
0.0055,0.0004,0.0051,0.0662,False,-0.0193,0.0328,-1052.9997,-0.0625,-0.1028,R² = -1.05e+03: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,0.0055,0.024,5,IntegratedGradients,IDS2025_Balanced,10,50,2000,42,Transformer,50,minimal,"{'LIME': 50, 'SHAP': 50, 'IntegratedGradients': 500, 'Attention': 1000}",INVALID,False
-0.0087,0.0004,-0.0091,-0.1445,False,-0.0291,0.0075,0.0102,0.1274,-0.0242,R² = 0.0102: within acceptable range but secondary metric.,-0.0087,0.0116,5,Attention,IDS2025_Balanced,10,50,2000,42,Transformer,50,minimal,"{'LIME': 50, 'SHAP': 50, 'IntegratedGradients': 500, 'Attention': 1000}",VALID,False
-0.3525,-0.3175,-0.035,-0.1523,False,-0.3682,-0.3357,-1978704.553,0.1734,-0.2909,R² = -1.98e+06: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,-0.3525,0.0258,5,SHAP,IDS2025_Balanced,10,1000,2000,42,LR,1000,full,"{'SHAP': 1000, 'LIME': 1000}",INVALID,False
-0.2235,-0.3175,0.0939,0.4862,False,-0.2356,-0.2117,-1.0394,0.3092,0.3007,"R² = -1.0394: negative but within marginal range. Indicates poor reconstruction in probability space. Use ablation-based metrics (cohens_d, incremental_power) instead.",-0.2235,0.0184,5,LIME,IDS2025_Balanced,10,1000,2000,42,LR,1000,full,"{'SHAP': 1000, 'LIME': 1000}",BORDERLINE,False
0.0028,0.0009,0.002,0.0218,False,-0.023,0.0311,-0.2211,-0.1391,-0.2082,"R² = -0.2211: negative but within marginal range. Indicates poor reconstruction in probability space. Use ablation-based metrics (cohens_d, incremental_power) instead.",0.0028,0.0266,5,LIME,IDS2025_Balanced,10,50,2000,42,LSTM,50,minimal,"{'LIME': 50, 'Attention': 1000, 'SHAP': 50, 'IntegratedGradients': 500}",BORDERLINE,False
0.0363,0.0009,0.0354,0.3003,False,-0.0031,0.0773,-0.0,-0.0149,-0.2803,R² = -0.0000: within acceptable range but secondary metric.,0.0363,0.0322,5,Attention,IDS2025_Balanced,10,50,2000,42,LSTM,50,minimal,"{'LIME': 50, 'Attention': 1000, 'SHAP': 50, 'IntegratedGradients': 500}",VALID,False
0.0267,0.0009,0.0258,0.2098,False,-0.0134,0.07,0.6733,0.8602,0.8169,R² = 0.6733: within acceptable range but secondary metric.,0.0267,0.0389,5,SHAP,IDS2025_Balanced,10,50,2000,42,LSTM,50,minimal,"{'LIME': 50, 'Attention': 1000, 'SHAP': 50, 'IntegratedGradients': 500}",VALID,False
-0.0164,0.0009,-0.0173,-0.2005,False,-0.0429,0.0081,-4486.8769,-0.3278,-0.1873,R² = -4.49e+03: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,-0.0164,0.0211,5,IntegratedGradients,IDS2025_Balanced,10,50,2000,42,LSTM,50,minimal,"{'LIME': 50, 'Attention': 1000, 'SHAP': 50, 'IntegratedGradients': 500}",INVALID,False
0.0011,0.0076,-0.0065,-0.412,False,-0.0019,0.004,-989.581,-0.4396,-0.6228,R² = -9.90e+02: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,0.0011,0.0021,5,Anchors,IDS2025_Balanced,10,30,2000,42,XGB,30,minimal,"{'Anchors': 30, 'SHAP': 1000, 'LIME': 1000}",INVALID,False
-0.0005,0.0076,-0.0081,-0.5036,True,-0.0039,0.0024,-14271.9892,0.4479,0.9183,R² = -1.43e+04: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,-0.0005,0.0023,5,SHAP,IDS2025_Balanced,10,30,2000,42,XGB,30,minimal,"{'Anchors': 30, 'SHAP': 1000, 'LIME': 1000}",INVALID,False
-0.001,0.0076,-0.0087,-0.4945,False,-0.0061,0.0033,-139.0716,0.2398,0.2333,R² = -1.39e+02: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,-0.001,0.0031,5,LIME,IDS2025_Balanced,10,30,2000,42,XGB,30,minimal,"{'Anchors': 30, 'SHAP': 1000, 'LIME': 1000}",INVALID,False
0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,R² = 0.0000: within acceptable range but secondary metric.,0.0,0.0,5,SHAP,IDS2025_Balanced,10,30,2000,42,DT,30,minimal,"{'SHAP': 1000, 'LIME': 1000, 'Anchors': 30}",VALID,False
0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,R² = 0.0000: within acceptable range but secondary metric.,0.0,0.0,5,LIME,IDS2025_Balanced,10,30,2000,42,DT,30,minimal,"{'SHAP': 1000, 'LIME': 1000, 'Anchors': 30}",VALID,False
0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,R² = 0.0000: within acceptable range but secondary metric.,0.0,0.0,5,Anchors,IDS2025_Balanced,10,30,2000,42,DT,30,minimal,"{'SHAP': 1000, 'LIME': 1000, 'Anchors': 30}",VALID,False
