method,model,dataset,n_aligned,sample_adequacy,cohens_d,practical_significant,incremental_power,mean_xai_power,mean_random_power,ci_lower_95,ci_upper_95,cv_mean_xai_power,cv_std_xai_power,r2_score,r2_valid,r2_note,r2_use_in_paper,EP_primary_metric,EP_primary_note,ep_interpret,ep_use_in_ranking,ep_note,comparison_tier,tier_note
IntegratedGradients,Transformer,CIC_IIoT_2025,200,limited,0.0698,False,0.004,0.005,0.001,-0.0052,0.0151,0.005,0.0087,-163.5398,INVALID,R² = -1.64e+02: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,"CI=[-0.0052, 0.0151] spans zero; effect direction not established. n=200, adequacy=limited.",EXCLUDED,INCONCLUSIVE_NOISE
SHAP,XGB,CIC_IIoT_2025,30,minimal,-0.2602,False,-0.0002,-0.0002,0.0,-0.0006,0.0001,-0.0002,0.0004,-787964.924,INVALID,R² = -7.88e+05: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=30 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
Anchors,XGB,CIC_IIoT_2025,30,minimal,0.6254,True,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,-58421.4277,INVALID,R² = -5.84e+04: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=30 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
LIME,XGB,CIC_IIoT_2025,30,minimal,-0.3263,False,-0.0002,-0.0002,0.0,-0.0004,0.0,-0.0002,0.0002,-23381.9124,INVALID,R² = -2.34e+04: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=30 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
SHAP,RF,IDS2025_Balanced,1000,full,0.5546,True,0.052,0.1316,0.0796,0.1244,0.1393,0.1316,0.0087,0.9999,TAUTOLOGY,"R²≈1 is a mathematical identity of SHAP additivity axiom (TreeExplainer). Expected by construction, not a performance finding.",False,cohens_d,Ablation-based: |effect size vs random| in probability space,RELIABLE,True,"n=1000 (full); CI=[0.1244,0.1393] fully positive; base model F1 > 90%. Used in ranking.",T2_EXTENDED,Extended: SHAP+LIME only; Anchors gap on IDS2025
LIME,RF,IDS2025_Balanced,1000,full,0.5068,True,0.0384,0.1181,0.0796,0.1128,0.1238,0.1181,0.0058,-6.9536,BORDERLINE,"R² = -6.9536: negative but within marginal range. Indicates poor reconstruction in probability space. Use ablation-based metrics (cohens_d, incremental_power) instead.",False,cohens_d,Ablation-based: |effect size vs random| in probability space,RELIABLE,True,"n=1000 (full); CI=[0.1128,0.1238] fully positive; base model F1 > 90%. Used in ranking.",T2_EXTENDED,Extended: SHAP+LIME only; Anchors gap on IDS2025
LIME,Transformer,IDS2025_Balanced,50,minimal,-0.4154,False,-0.0259,-0.0254,0.0004,-0.0455,-0.0091,-0.0254,0.0132,-34.2297,INVALID,R² = -3.42e+01: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=50 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
SHAP,Transformer,IDS2025_Balanced,50,minimal,0.221,False,0.0245,0.0249,0.0004,-0.0104,0.0671,0.0249,0.0306,0.24,VALID,R² = 0.2400: within acceptable range but secondary metric.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=50 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
IntegratedGradients,Transformer,IDS2025_Balanced,50,minimal,0.0662,False,0.0051,0.0055,0.0004,-0.0193,0.0328,0.0055,0.024,-1052.9997,INVALID,R² = -1.05e+03: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=50 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
Attention,Transformer,IDS2025_Balanced,50,minimal,-0.1445,False,-0.0091,-0.0087,0.0004,-0.0291,0.0075,-0.0087,0.0116,0.0102,VALID,R² = 0.0102: within acceptable range but secondary metric.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=50 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
SHAP,LR,IDS2025_Balanced,1000,full,-0.1523,False,-0.035,-0.3525,-0.3175,-0.3682,-0.3357,-0.3525,0.0258,-1978704.553,INVALID,R² = -1.98e+06: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,BASE_MODEL_WEAK,False,LR F1≈68-80% (below 90% threshold); perturbation-based EP requires well-fitted classifier. Metric values retained; excluded from ranking.,EXCLUDED,BASE_MODEL_WEAK
LIME,LR,IDS2025_Balanced,1000,full,0.4862,False,0.0939,-0.2235,-0.3175,-0.2356,-0.2117,-0.2235,0.0184,-1.0394,BORDERLINE,"R² = -1.0394: negative but within marginal range. Indicates poor reconstruction in probability space. Use ablation-based metrics (cohens_d, incremental_power) instead.",False,cohens_d,Ablation-based: |effect size vs random| in probability space,BASE_MODEL_WEAK,False,LR F1≈68-80% (below 90% threshold); perturbation-based EP requires well-fitted classifier. Metric values retained; excluded from ranking.,EXCLUDED,BASE_MODEL_WEAK
LIME,LSTM,IDS2025_Balanced,50,minimal,0.0218,False,0.002,0.0028,0.0009,-0.023,0.0311,0.0028,0.0266,-0.2211,BORDERLINE,"R² = -0.2211: negative but within marginal range. Indicates poor reconstruction in probability space. Use ablation-based metrics (cohens_d, incremental_power) instead.",False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=50 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
Attention,LSTM,IDS2025_Balanced,50,minimal,0.3003,False,0.0354,0.0363,0.0009,-0.0031,0.0773,0.0363,0.0322,-0.0,VALID,R² = -0.0000: within acceptable range but secondary metric.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=50 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
SHAP,LSTM,IDS2025_Balanced,50,minimal,0.2098,False,0.0258,0.0267,0.0009,-0.0134,0.07,0.0267,0.0389,0.6733,VALID,R² = 0.6733: within acceptable range but secondary metric.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=50 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
IntegratedGradients,LSTM,IDS2025_Balanced,50,minimal,-0.2005,False,-0.0173,-0.0164,0.0009,-0.0429,0.0081,-0.0164,0.0211,-4486.8769,INVALID,R² = -4.49e+03: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=50 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
Anchors,XGB,IDS2025_Balanced,30,minimal,-0.412,False,-0.0065,0.0011,0.0076,-0.0019,0.004,0.0011,0.0021,-989.581,INVALID,R² = -9.90e+02: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=30 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
SHAP,XGB,IDS2025_Balanced,30,minimal,-0.5036,True,-0.0081,-0.0005,0.0076,-0.0039,0.0024,-0.0005,0.0023,-14271.9892,INVALID,R² = -1.43e+04: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=30 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
LIME,XGB,IDS2025_Balanced,30,minimal,-0.4945,False,-0.0087,-0.001,0.0076,-0.0061,0.0033,-0.001,0.0031,-139.0716,INVALID,R² = -1.39e+02: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=30 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
SHAP,DT,IDS2025_Balanced,30,minimal,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VALID,R² = 0.0000: within acceptable range but secondary metric.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=30 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
LIME,DT,IDS2025_Balanced,30,minimal,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VALID,R² = 0.0000: within acceptable range but secondary metric.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=30 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
Anchors,DT,IDS2025_Balanced,30,minimal,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VALID,R² = 0.0000: within acceptable range but secondary metric.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,n=30 < 100 (minimal adequacy); bootstrap CI unreliable at this sample size. Effect direction undetermined.,EXCLUDED,INCONCLUSIVE_NOISE
