metric,dataset,method_A,method_B,model,val_A,val_B,diff_A_minus_B,A_wins,ci_separated,cohens_d_A,cohens_d_B,evidence,n_aligned,sample_adequacy,n_common_models,consistent_winner,boot_ci_lo_diff,boot_ci_hi_diff,inference_note
Explanatory Power,CIC_IIoT_2025,Attention,SHAP,Transformer,0.155,0.0585,0.0965,True,False,0.155,0.0585,INCONCLUSIVE,200,limited,2,Attention,-0.1611,0.2264,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,IntegratedGradients,LIME,LSTM,0.1594,-0.0006,0.16,True,False,0.1594,-0.0006,INCONCLUSIVE,200,limited,2,IntegratedGradients,0.0418,0.16,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,IntegratedGradients,LIME,Transformer,0.0698,0.028,0.0418,True,False,0.0698,0.028,INCONCLUSIVE,200,limited,2,IntegratedGradients,0.0418,0.16,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,IntegratedGradients,SHAP,LSTM,0.1594,-0.0714,0.2308,True,False,0.1594,-0.0714,INCONCLUSIVE,200,limited,2,IntegratedGradients,0.0113,0.2308,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,IntegratedGradients,SHAP,Transformer,0.0698,0.0585,0.0113,True,False,0.0698,0.0585,INCONCLUSIVE,200,limited,2,IntegratedGradients,0.0113,0.2308,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,LIME,SHAP,DT,-0.2506,-0.063,-0.1876,False,False,-0.2506,-0.063,INCONCLUSIVE,200,limited,6,SHAP,-1.3852,1.0637,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,LIME,SHAP,LR,-0.3725,-0.1698,-0.2027,False,False,-0.3725,-0.1698,INCONCLUSIVE,200,limited,6,SHAP,-1.3852,1.0637,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,LIME,SHAP,LSTM,-0.0006,-0.0714,0.0708,True,False,-0.0006,-0.0714,INCONCLUSIVE,200,limited,6,SHAP,-1.3852,1.0637,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,LIME,SHAP,RF,2.7996,3.3367,-0.5371,False,False,2.7996,3.3367,MODERATE EVIDENCE (overlapping CI but large effect),200,limited,6,SHAP,-1.3852,1.0637,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,LIME,SHAP,Transformer,0.028,0.0585,-0.0305,False,False,0.028,0.0585,INCONCLUSIVE,200,limited,6,SHAP,-1.3852,1.0637,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,LIME,SHAP,XGB,-0.3263,-0.2602,-0.0661,False,False,-0.3263,-0.2602,INCONCLUSIVE,30,minimal,6,SHAP,-1.3852,1.0637,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,Anchors,LIME,DT,0.0,0.0,0.0,False,True,0.0,0.0,WEAK EVIDENCE (CI separated but small effect),30,minimal,2,Anchors,-0.412,0.4945,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,Anchors,LIME,XGB,-0.412,-0.4945,0.0825,True,False,-0.412,-0.4945,INCONCLUSIVE,30,minimal,2,Anchors,-0.412,0.4945,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,Anchors,SHAP,DT,0.0,0.0,0.0,False,True,0.0,0.0,WEAK EVIDENCE (CI separated but small effect),30,minimal,2,Anchors,-0.412,0.5036,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,Anchors,SHAP,XGB,-0.412,-0.5036,0.0916,True,False,-0.412,-0.5036,INCONCLUSIVE,30,minimal,2,Anchors,-0.412,0.5036,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,Attention,IntegratedGradients,LSTM,0.3003,-0.2005,0.5008,True,False,0.3003,-0.2005,INCONCLUSIVE,50,minimal,2,Attention,-0.2107,0.5008,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,Attention,IntegratedGradients,Transformer,-0.1445,0.0662,-0.2107,False,False,-0.1445,0.0662,INCONCLUSIVE,50,minimal,2,Attention,-0.2107,0.5008,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,Attention,LIME,LSTM,0.3003,0.0218,0.2785,True,False,0.3003,0.0218,INCONCLUSIVE,50,minimal,2,Attention,-0.1663,0.7157,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,Attention,LIME,Transformer,-0.1445,-0.4154,0.2709,True,False,-0.1445,-0.4154,INCONCLUSIVE,50,minimal,2,Attention,-0.1663,0.7157,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,Attention,SHAP,LSTM,0.3003,0.2098,0.0905,True,False,0.3003,0.2098,INCONCLUSIVE,50,minimal,2,Attention,-0.3655,0.0905,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,Attention,SHAP,Transformer,-0.1445,0.221,-0.3655,False,False,-0.1445,0.221,INCONCLUSIVE,50,minimal,2,Attention,-0.3655,0.0905,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,IntegratedGradients,LIME,LSTM,-0.2005,0.0218,-0.2223,False,False,-0.2005,0.0218,INCONCLUSIVE,50,minimal,2,IntegratedGradients,-0.2223,0.4816,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,IntegratedGradients,LIME,Transformer,0.0662,-0.4154,0.4816,True,False,0.0662,-0.4154,INCONCLUSIVE,50,minimal,2,IntegratedGradients,-0.2223,0.4816,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,IntegratedGradients,SHAP,LSTM,-0.2005,0.2098,-0.4103,False,False,-0.2005,0.2098,INCONCLUSIVE,50,minimal,2,SHAP,-0.4215,-0.1436,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,IntegratedGradients,SHAP,Transformer,0.0662,0.221,-0.1548,False,False,0.0662,0.221,INCONCLUSIVE,50,minimal,2,SHAP,-0.4215,-0.1436,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,LIME,SHAP,DT,0.0,0.0,0.0,False,True,0.0,0.0,WEAK EVIDENCE (CI separated but small effect),30,minimal,6,SHAP,-0.4579,0.3884,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,LIME,SHAP,LR,0.4862,-0.1523,0.6385,True,True,0.4862,-0.1523,WEAK EVIDENCE (CI separated but small effect),1000,full,6,SHAP,-0.4579,0.3884,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,LIME,SHAP,LSTM,0.0218,0.2098,-0.188,False,False,0.0218,0.2098,INCONCLUSIVE,50,minimal,6,SHAP,-0.4579,0.3884,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,LIME,SHAP,RF,0.5068,0.5546,-0.0478,False,True,0.5068,0.5546,MODERATE EVIDENCE,1000,full,6,SHAP,-0.4579,0.3884,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,LIME,SHAP,Transformer,-0.4154,0.221,-0.6364,False,False,-0.4154,0.221,INCONCLUSIVE,50,minimal,6,SHAP,-0.4579,0.3884,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanatory Power,IDS2025_Balanced,LIME,SHAP,XGB,-0.4945,-0.5036,0.0091,True,False,-0.4945,-0.5036,INCONCLUSIVE,30,minimal,6,SHAP,-0.4579,0.3884,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Actionability,CIC_IIoT_2025,Anchors,LIME,DT,0.2423,0.3958,-0.1535,False,,,,INCONCLUSIVE,200,limited,4,LIME,-0.4245,-0.049,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Actionability,CIC_IIoT_2025,Anchors,LIME,LR,0.2185,0.6913,-0.4728,False,,,,INCONCLUSIVE,200,limited,4,LIME,-0.4245,-0.049,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Actionability,CIC_IIoT_2025,Anchors,LIME,RF,0.1259,0.1927,-0.0668,False,,,,INCONCLUSIVE,200,limited,4,LIME,-0.4245,-0.049,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Actionability,CIC_IIoT_2025,Anchors,LIME,XGB,0.0987,0.2973,-0.1986,False,,,,INCONCLUSIVE,30,minimal,4,LIME,-0.4245,-0.049,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Actionability,CIC_IIoT_2025,Anchors,SHAP,DT,0.2423,0.2198,0.0225,True,,,,INCONCLUSIVE,200,limited,4,SHAP,-0.3816,-0.0077,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Actionability,CIC_IIoT_2025,Anchors,SHAP,LR,0.2185,0.6611,-0.4426,False,,,,INCONCLUSIVE,200,limited,4,SHAP,-0.3816,-0.0077,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Actionability,CIC_IIoT_2025,Anchors,SHAP,RF,0.1259,0.2283,-0.1024,False,,,,INCONCLUSIVE,200,limited,4,SHAP,-0.3816,-0.0077,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Actionability,CIC_IIoT_2025,Anchors,SHAP,XGB,0.0987,0.2087,-0.11,False,,,,INCONCLUSIVE,30,minimal,4,SHAP,-0.3816,-0.0077,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Actionability,CIC_IIoT_2025,Attention,IntegratedGradients,LSTM,0.2392,0.2337,0.0055,True,,,,INCONCLUSIVE,200,limited,2,Attention,-0.0454,0.0203,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,CIC_IIoT_2025,Attention,IntegratedGradients,Transformer,0.254,0.2846,-0.0306,False,,,,INCONCLUSIVE,200,limited,2,Attention,-0.0454,0.0203,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,CIC_IIoT_2025,Attention,LIME,LSTM,0.2392,0.3604,-0.1212,False,,,,INCONCLUSIVE,200,limited,2,LIME,-0.1212,-0.0152,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,CIC_IIoT_2025,Attention,LIME,Transformer,0.254,0.2692,-0.0152,False,,,,INCONCLUSIVE,200,limited,2,LIME,-0.1212,-0.0152,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,CIC_IIoT_2025,Attention,SHAP,LSTM,0.2392,0.2101,0.0291,True,,,,INCONCLUSIVE,200,limited,2,Attention,-0.0176,0.0439,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,CIC_IIoT_2025,Attention,SHAP,Transformer,0.254,0.2568,-0.0028,False,,,,INCONCLUSIVE,200,limited,2,Attention,-0.0176,0.0439,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,CIC_IIoT_2025,IntegratedGradients,LIME,LSTM,0.2337,0.3604,-0.1267,False,,,,INCONCLUSIVE,200,limited,2,IntegratedGradients,-0.1267,0.0154,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,CIC_IIoT_2025,IntegratedGradients,LIME,Transformer,0.2846,0.2692,0.0154,True,,,,INCONCLUSIVE,200,limited,2,IntegratedGradients,-0.1267,0.0154,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,CIC_IIoT_2025,IntegratedGradients,SHAP,LSTM,0.2337,0.2101,0.0236,True,,,,INCONCLUSIVE,200,limited,2,IntegratedGradients,-0.0231,0.0745,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,CIC_IIoT_2025,IntegratedGradients,SHAP,Transformer,0.2846,0.2568,0.0278,True,,,,INCONCLUSIVE,200,limited,2,IntegratedGradients,-0.0231,0.0745,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,CIC_IIoT_2025,LIME,SHAP,DT,0.3958,0.2198,0.176,True,,,,INCONCLUSIVE,200,limited,6,LIME,-0.111,0.2487,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Actionability,CIC_IIoT_2025,LIME,SHAP,LR,0.6913,0.6611,0.0302,True,,,,INCONCLUSIVE,200,limited,6,LIME,-0.111,0.2487,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Actionability,CIC_IIoT_2025,LIME,SHAP,LSTM,0.3604,0.2101,0.1503,True,,,,INCONCLUSIVE,200,limited,6,LIME,-0.111,0.2487,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Actionability,CIC_IIoT_2025,LIME,SHAP,RF,0.1927,0.2283,-0.0356,False,,,,INCONCLUSIVE,200,limited,6,LIME,-0.111,0.2487,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Actionability,CIC_IIoT_2025,LIME,SHAP,Transformer,0.2692,0.2568,0.0124,True,,,,INCONCLUSIVE,200,limited,6,LIME,-0.111,0.2487,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Actionability,CIC_IIoT_2025,LIME,SHAP,XGB,0.2973,0.2087,0.0886,True,,,,INCONCLUSIVE,30,minimal,6,LIME,-0.111,0.2487,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Actionability,IDS2025_Balanced,Anchors,LIME,DT,0.1453,0.5933,-0.448,False,,,,INCONCLUSIVE,30,minimal,2,LIME,-0.468,-0.4034,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,IDS2025_Balanced,Anchors,LIME,XGB,0.1253,0.5487,-0.4234,False,,,,INCONCLUSIVE,30,minimal,2,LIME,-0.468,-0.4034,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,IDS2025_Balanced,Anchors,SHAP,DT,0.1453,0.4953,-0.35,False,,,,INCONCLUSIVE,30,minimal,2,SHAP,-0.3954,-0.35,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,IDS2025_Balanced,Anchors,SHAP,XGB,0.1253,0.5207,-0.3954,False,,,,INCONCLUSIVE,30,minimal,2,SHAP,-0.3954,-0.35,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,IDS2025_Balanced,Attention,IntegratedGradients,LSTM,0.4408,0.58,-0.1392,False,,,,INCONCLUSIVE,50,minimal,2,Attention,-0.1392,0.0028,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,IDS2025_Balanced,Attention,IntegratedGradients,Transformer,0.548,0.5452,0.0028,True,,,,INCONCLUSIVE,50,minimal,2,Attention,-0.1392,0.0028,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,IDS2025_Balanced,Attention,LIME,LSTM,0.4408,0.6028,-0.162,False,,,,INCONCLUSIVE,50,minimal,2,LIME,-0.1676,-0.0548,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,IDS2025_Balanced,Attention,LIME,Transformer,0.548,0.6084,-0.0604,False,,,,INCONCLUSIVE,50,minimal,2,LIME,-0.1676,-0.0548,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,IDS2025_Balanced,Attention,SHAP,LSTM,0.4408,0.5592,-0.1184,False,,,,INCONCLUSIVE,50,minimal,2,SHAP,-0.1184,-0.0104,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,IDS2025_Balanced,Attention,SHAP,Transformer,0.548,0.5584,-0.0104,False,,,,INCONCLUSIVE,50,minimal,2,SHAP,-0.1184,-0.0104,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,IDS2025_Balanced,IntegratedGradients,LIME,LSTM,0.58,0.6028,-0.0228,False,,,,INCONCLUSIVE,50,minimal,2,LIME,-0.0632,-0.0228,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,IDS2025_Balanced,IntegratedGradients,LIME,Transformer,0.5452,0.6084,-0.0632,False,,,,INCONCLUSIVE,50,minimal,2,LIME,-0.0632,-0.0228,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,IDS2025_Balanced,IntegratedGradients,SHAP,LSTM,0.58,0.5592,0.0208,True,,,,INCONCLUSIVE,50,minimal,2,IntegratedGradients,-0.014,0.0216,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,IDS2025_Balanced,IntegratedGradients,SHAP,Transformer,0.5452,0.5584,-0.0132,False,,,,INCONCLUSIVE,50,minimal,2,IntegratedGradients,-0.014,0.0216,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Actionability,IDS2025_Balanced,LIME,SHAP,DT,0.5933,0.4953,0.098,True,,,,INCONCLUSIVE,30,minimal,6,LIME,-0.0584,0.1179,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Actionability,IDS2025_Balanced,LIME,SHAP,LR,0.3456,0.4142,-0.0686,False,,,,INCONCLUSIVE,1000,full,6,LIME,-0.0584,0.1179,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Actionability,IDS2025_Balanced,LIME,SHAP,LSTM,0.6028,0.5592,0.0436,True,,,,INCONCLUSIVE,50,minimal,6,LIME,-0.0584,0.1179,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Actionability,IDS2025_Balanced,LIME,SHAP,RF,0.6482,0.5812,0.067,True,,,,INCONCLUSIVE,1000,full,6,LIME,-0.0584,0.1179,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Actionability,IDS2025_Balanced,LIME,SHAP,Transformer,0.6084,0.5584,0.05,True,,,,INCONCLUSIVE,50,minimal,6,LIME,-0.0584,0.1179,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Actionability,IDS2025_Balanced,LIME,SHAP,XGB,0.5487,0.5207,0.028,True,,,,INCONCLUSIVE,30,minimal,6,LIME,-0.0584,0.1179,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,Anchors,LIME,DT,0.555,0.765,-0.21,False,,,,INCONCLUSIVE,200,limited,4,LIME,-0.525,-0.0217,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,Anchors,LIME,LR,0.75,0.87,-0.12,False,,,,INCONCLUSIVE,200,limited,4,LIME,-0.525,-0.0217,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,Anchors,LIME,RF,0.12,0.615,-0.495,False,,,,INCONCLUSIVE,200,limited,4,LIME,-0.525,-0.0217,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,Anchors,LIME,XGB,0.3333,0.6,-0.2667,False,,,,INCONCLUSIVE,30,minimal,4,LIME,-0.525,-0.0217,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,Anchors,SHAP,DT,0.555,0.89,-0.335,False,,,,INCONCLUSIVE,200,limited,4,SHAP,-0.5675,-0.0692,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,Anchors,SHAP,LR,0.75,0.73,0.02,True,,,,INCONCLUSIVE,200,limited,4,SHAP,-0.5675,-0.0692,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,Anchors,SHAP,RF,0.12,0.74,-0.62,False,,,,INCONCLUSIVE,200,limited,4,SHAP,-0.5675,-0.0692,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,Anchors,SHAP,XGB,0.3333,0.6667,-0.3334,False,,,,INCONCLUSIVE,30,minimal,4,SHAP,-0.5675,-0.0692,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,Attention,IntegratedGradients,LSTM,0.135,0.285,-0.15,False,,,,INCONCLUSIVE,200,limited,2,Attention,-0.28,0.34,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,Attention,IntegratedGradients,Transformer,0.625,0.415,0.21,True,,,,INCONCLUSIVE,200,limited,2,Attention,-0.28,0.34,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,Attention,LIME,LSTM,0.135,0.485,-0.35,False,,,,INCONCLUSIVE,200,limited,2,LIME,-0.495,0.14,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,Attention,LIME,Transformer,0.625,0.63,-0.005,False,,,,INCONCLUSIVE,200,limited,2,LIME,-0.495,0.14,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,Attention,SHAP,LSTM,0.135,0.83,-0.695,False,,,,INCONCLUSIVE,200,limited,2,SHAP,-0.695,-0.2,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,Attention,SHAP,Transformer,0.625,0.825,-0.2,False,,,,INCONCLUSIVE,200,limited,2,SHAP,-0.695,-0.2,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,IntegratedGradients,LIME,LSTM,0.285,0.485,-0.2,False,,,,INCONCLUSIVE,200,limited,2,LIME,-0.345,-0.07,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,IntegratedGradients,LIME,Transformer,0.415,0.63,-0.215,False,,,,INCONCLUSIVE,200,limited,2,LIME,-0.345,-0.07,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,IntegratedGradients,SHAP,LSTM,0.285,0.83,-0.545,False,,,,INCONCLUSIVE,200,limited,2,SHAP,-0.545,-0.41,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,IntegratedGradients,SHAP,Transformer,0.415,0.825,-0.41,False,,,,INCONCLUSIVE,200,limited,2,SHAP,-0.545,-0.41,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,LIME,SHAP,DT,0.765,0.89,-0.125,False,,,,INCONCLUSIVE,200,limited,6,SHAP,-0.2345,-0.0011,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,LIME,SHAP,LR,0.87,0.73,0.14,True,,,,INCONCLUSIVE,200,limited,6,SHAP,-0.2345,-0.0011,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,LIME,SHAP,LSTM,0.485,0.83,-0.345,False,,,,INCONCLUSIVE,200,limited,6,SHAP,-0.2345,-0.0011,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,LIME,SHAP,RF,0.615,0.74,-0.125,False,,,,INCONCLUSIVE,200,limited,6,SHAP,-0.2345,-0.0011,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
